15;Parcel number;381700903177
16;Type;Apartment
16;Year built;No Data
16;Heating;No Data
16;Cooling;None
16;Parking;Off-street
17;Date available;Available Now
17;Type;Single Family
17;Cooling;None
17;Heating;Baseboard, Other, Gas
17;Pets;Cats, Small Dogs, Dogs
17;Parking;Carport, Off-street, Covered
17;Laundry;In Unit
17;Deposit & fees;$1,795
17;Bedrooms;4
17;Bathrooms;2
17;Basement;Unfinished
17;Flooring;Tile, Hardwood
17;Heating features;Baseboard, Other, Gas
17;Cooling features;None
17;Appliances included;Dryer, Range / Oven, Refrigerator, Washer
17;Laundry features;In Unit
17;Total interior livable area;1,493 sqft
17;Total spaces;1
17;Parking features;Carport, Off-street, Covered
17;Garage spaces;1
17;Exterior features;Vinyl
17;Lot size;7,840 sqft
17;Parcel number;3817001127572
18;Type;Apartment
18;Cooling;None
18;Heating;Gas
18;Pets;Contact manager
18;Parking;None
18;Laundry;Contact manager
18;Deposit & fees;Contact manager
18;Bedrooms;3
18;Bathrooms;1
18;Flooring;Hardwood
18;Heating features;Gas
18;Cooling features;None
18;Appliances included;Range / Oven, Refrigerator
18;Total interior livable area;4,128 sqft
18;Total spaces;0
18;Parking features;None
18;Has garage;No
18;Garage spaces;0
19;Type;Multiple Occupancy
19;Year built;No Data
19;Heating;No Data
19;Cooling;None
19;Parking;None
20;Date available;Available Now
20;Type;Single Family
20;Cooling;None
20;Heating;Other, Other
20;Pets;Cats, Small Dogs
20;Parking;Garage - Detached, Off-street
20;Laundry;In Unit
20;Deposit & fees;$1,550
20;Bedrooms;3
20;Bathrooms;1
20;Flooring;Hardwood
20;Heating features;Other, Other
20;Cooling features;None
20;Appliances included;Dryer, Washer
20;Laundry features;In Unit
20;Total interior livable area;1,009 sqft
20;Total spaces;0
20;Parking features;Garage - Detached, Off-street
20;Has garage;No
20;Garage spaces;0
20;Stories;1
20;Exterior features;Other
20;Lot size;3,920 sqft
20;Parcel number;3817001126733
21;Date available;Fri Jan 1 2021
21;Type;Multiple Occupancy
21;Cooling;None
21;Heating;Contact manager
21;Pets;Cats
21;Parking;Garage - Attached, None
21;Laundry;Contact manager
21;Deposit & fees;$1,195
21;Bedrooms;2
21;Bathrooms;1
21;Basement;Partially finished
21;Flooring;Hardwood
21;Cooling features;None
21;Total interior livable area;800 sqft
21;Total spaces;0
21;Parking features;Garage - Attached, None
21;Has garage;No
21;Garage spaces;0
21;Stories;3
21;Lot size;9,583 sqft
21;Parcel number;381700101611018
22;Date available;Fri Jan 1 2021
22;Type;Apartment
22;Cooling;None
22;Heating;Contact manager
22;Pets;Contact manager
22;Parking;Off-street
22;Laundry;Contact manager
22;Deposit & fees;$1,500
22;Bedrooms;3
22;Bathrooms;1
22;Flooring;Hardwood
22;Cooling features;None
22;Total spaces;0
22;Parking features;Off-street
22;Has garage;No
22;Garage spaces;0
23;Date available;Available Now
23;Type;Multiple Occupancy
23;Cooling;None
23;Heating;Contact manager
23;Pets;Contact manager
23;Parking;None
23;Laundry;Contact manager
23;Deposit & fees;$950
23;Bedrooms;1
23;Bathrooms;1
23;Cooling features;None
23;Total spaces;0
23;Parking features;None
23;Has garage;No
23;Garage spaces;0
24;Date available;Tue Jun 1 2021
24;Type;Apartment
24;Cooling;None
24;Heating;Other
24;Pets;Cats, Small Dogs
24;Parking;Off-street
24;Laundry;In Unit
24;Deposit & fees;$3,100
24;Bedrooms;5
24;Bathrooms;2
24;Flooring;Hardwood
24;Heating features;Other
24;Cooling features;None
24;Appliances included;Dryer, Range / Oven, Refrigerator, Washer
24;Laundry features;In Unit
24;Total spaces;0
24;Parking features;Off-street
24;Has garage;No
24;Garage spaces;0
25;Date available;Available Now
25;Type;Apartment
25;Cooling;None
25;Heating;Contact manager
25;Pets;Cats
25;Parking;None
25;Laundry;Contact manager
25;Deposit & fees;$835
25;Bedrooms;1
25;Bathrooms;1
25;Flooring;Hardwood
25;Cooling features;None
25;Total spaces;0
25;Parking features;None
25;Has garage;No
25;Garage spaces;0
26;Date available;Available Now
26;Type;Multiple Occupancy
26;Cooling;None
26;Heating;Contact manager
26;Pets;Contact manager
26;Parking;None
26;Laundry;Contact manager
26;Deposit & fees;$1,425
26;Bedrooms;3
26;Bathrooms;1
26;Cooling features;None
26;Total interior livable area;1,500 sqft
26;Total spaces;0
26;Parking features;None
26;Has garage;No
26;Garage spaces;0
27;Type;Apartment
27;Year built;1890
27;Heating;Other, Other
27;Cooling;None
27;Parking;Garage - Detached, None, Covered
28;Type;Apartment
28;Year built;1890
28;Heating;Gas
28;Cooling;Other
28;Parking;None
29;Date available;Available Now
29;Type;Apartment
29;Cooling;None
29;Heating;Gas
29;Pets;No Pets
29;Parking;Off-street
29;Laundry;In Unit
29;Deposit & fees;$995
29;Bedrooms;3
29;Bathrooms;1
29;Heating features;Gas
29;Cooling features;None
29;Appliances included;Dryer, Range / Oven, Refrigerator, Washer
29;Laundry features;In Unit
29;Total interior livable area;1,100 sqft
29;Total spaces;0
29;Parking features;Off-street
29;Has garage;No
29;Garage spaces;0
30;Type;Multiple Occupancy
30;Year built;No Data
30;Heating;Other
30;Cooling;None
30;Parking;None
31;Type;Single Family
31;Year built;1900
31;Heating;Forced air, Other
31;Cooling;Other
31;Parking;Off-street
31;Lot;3,049 sqft
32;Date available;Available Now
32;Type;Single Family
32;Cooling;None
32;Heating;Baseboard, Gas
32;Pets;Cats, Small Dogs
32;Parking;Garage, Off-street, Covered
32;Laundry;In Unit
32;Deposit & fees;$1,550
32;Bedrooms;3
32;Bathrooms;1
32;Basement;Finished
32;Flooring;Hardwood
32;Heating features;Baseboard, Gas
32;Cooling features;None
32;Appliances included;Dryer, Washer
32;Laundry features;In Unit
32;Total interior livable area;1,700 sqft
32;Total spaces;1
32;Parking features;Garage, Off-street, Covered
32;Garage spaces;1
32;Stories;2
32;Exterior features;Vinyl
32;View description;City
32;Lot size;3,484 sqft
32;Parcel number;3817001126935
33;Type;Apartment
33;Year built;No Data
33;Heating;Forced air
33;Cooling;Other
33;Parking;None
34;Type;Apartment
34;Cooling;None
34;Heating;Contact manager
34;Pets;No Pets
34;Parking;None
34;Laundry;Hookups
34;Deposit & fees;$1,200
34;Bedrooms;2
34;Bathrooms;1
34;Flooring;Hardwood
34;Cooling features;None
34;Laundry features;Hookups
34;Total spaces;0
34;Parking features;None
34;Has garage;No
34;Garage spaces;0
35;Date available;Fri Jan 1 2021
35;Type;Apartment
35;Cooling;None
35;Heating;Contact manager
35;Pets;No Pets
35;Parking;Off-street
35;Laundry;Contact manager
35;Deposit & fees;$1,275
35;Bedrooms;3
35;Bathrooms;1
35;Flooring;Hardwood
35;Cooling features;None
35;Total interior livable area;1,000 sqft
35;Total spaces;0
35;Parking features;Off-street
35;Has garage;No
35;Garage spaces;0
36;Date available;Tue Dec 1 2020
36;Type;Apartment
36;Cooling;None
36;Heating;Contact manager
36;Pets;Cats
36;Parking;None
36;Laundry;Contact manager
36;Deposit & fees;$1,100
36;Bedrooms;1
36;Bathrooms;1
36;Basement;Partially finished
36;Flooring;Hardwood
36;Cooling features;None
36;Appliances included;Dishwasher
36;Total interior livable area;5,023 sqft
36;Total spaces;0
36;Parking features;None
36;Has garage;No
36;Garage spaces;0
36;Stories;3
36;Lot size;3,049 sqft
36;Parcel number;38170010169167
37;Date available;Tue Dec 1 2020
37;Type;Apartment
37;Cooling;None
37;Heating;Contact manager
37;Pets;Cats, Small Dogs
37;Parking;None
37;Laundry;Contact manager
37;Deposit & fees;$1,050
37;Bedrooms;1
37;Bathrooms;1
37;Flooring;Hardwood
37;Cooling features;None
37;Total interior livable area;1,200 sqft
37;Total spaces;0
37;Parking features;None
37;Has garage;No
37;Garage spaces;0
38;Type;Apartment
38;Year built;1890
38;Heating;Forced air, Gas
38;Cooling;Other
38;Parking;Garage - Detached, Covered
39;Type;Apartment
39;Cooling;None
39;Heating;Contact manager
39;Pets;Cats
39;Parking;Off-street
39;Laundry;Contact manager
39;Deposit & fees;$600
39;Bedrooms;1
39;Bathrooms;1
39;Flooring;Hardwood
39;Cooling features;None
39;Total interior livable area;600 sqft
39;Total spaces;0
39;Parking features;Off-street
39;Has garage;No
39;Garage spaces;0
40;Type;Apartment
40;Year built;No Data
40;Heating;Other
40;Cooling;None
40;Parking;None
41;Date available;Available Now
41;Type;Apartment
41;Cooling;None
41;Heating;Forced air, Other
41;Pets;Cats, Small Dogs
41;Parking;None
41;Laundry;In Unit
41;Deposit & fees;$695
41;Bedrooms;1
41;Bathrooms;1
41;Flooring;Hardwood
41;Heating features;Forced air, Other
41;Cooling features;None
41;Appliances included;Dryer, Washer
41;Laundry features;In Unit
41;Total interior livable area;1,000 sqft
41;Total spaces;0
41;Parking features;None
41;Has garage;No
41;Garage spaces;0
42;Type;Apartment
42;Cooling;None
42;Heating;Contact manager
42;Pets;Contact manager
42;Parking;None
42;Laundry;In Unit
42;Deposit & fees;$1,500
42;Bedrooms;3
42;Cooling features;None
42;Appliances included;Dryer, Washer
42;Laundry features;In Unit
42;Total interior livable area;1,400 sqft
42;Total spaces;0
42;Parking features;None
42;Has garage;No
42;Garage spaces;0
43;Date available;Tue Dec 1 2020
43;Type;Apartment
43;Cooling;None
43;Heating;Forced air
43;Pets;Contact manager
43;Parking;None
43;Laundry;Contact manager
43;Deposit & fees;$1,400
43;Bedrooms;2
43;Bathrooms;1
43;Flooring;Hardwood
43;Heating features;Forced air
43;Cooling features;None
43;Appliances included;Dryer, Washer
43;Total interior livable area;1,069 sqft
43;Total spaces;0
43;Parking features;None
43;Has garage;No
43;Garage spaces;0
44;Date available;Available Now
44;Type;Apartment
44;Cooling;None
44;Heating;Contact manager
44;Pets;No Pets
44;Parking;Off-street
44;Laundry;Contact manager
44;Deposit & fees;$1,195
44;Bedrooms;3
44;Bathrooms;1
44;Flooring;Hardwood
44;Cooling features;None
44;Appliances included;Microwave, Range / Oven, Refrigerator
44;Total interior livable area;1,400 sqft
44;Total spaces;0
44;Parking features;Off-street
44;Has garage;No
44;Garage spaces;0
45;Type;Apartment
45;Year built;1900
45;Heating;No Data
45;Cooling;None
45;Parking;None
46;Type;Apartment
